HPO_ICD10_ID	HPO_IDs	HPO_Strings	HPO_Syns	ICD10	ICD10_UKBB
HPO_ICD:0	HP:0000011	Neurogenic bladder	Lack of bladder control due to nervous system injury	N319;N311;N310	N319;N311;N310
HPO_ICD:1	HP:0000012	Urinary urgency	Urinary urgency; Urgency frequency syndrome; Overactive bladder; Overactive bladder syndrome	R3915	R391
HPO_ICD:2	HP:0000013	Hypoplasia of the uterus	Underdeveloped uterus; Small uterus; Hypoplastic uterus; Rudimentary uterus	Q51811	
HPO_ICD:3	HP:0000015	Bladder diverticulum	Bladder diverticula	N323	N323
HPO_ICD:4	HP:0000016	Urinary retention	Increased post-void residual urine volume	R39198;R339	R33
HPO_ICD:5	HP:0000017	Nocturia	Nycturia	R351	R35
HPO_ICD:6	HP:0000019	Urinary hesitancy	Difficulty with flow	R3911	R391
HPO_ICD:7	HP:0000023	Inguinal hernia		K4090	K409
HPO_ICD:8	HP:0000024	Prostatitis	Inflammation of the prostate	N419	N419
HPO_ICD:9	HP:0008720;HP:0000026;HP:0008226	Primary testicular failure; Androgen insufficiency; Male hypogonadism	Hypoandrogenism; Decreased function of male gonad	E291	E291
HPO_ICD:10	HP:0000027	Azoospermia	Absent sperm in semen	N46024;N4601;N46022;N46025;N46023;N46021	
HPO_ICD:11	HP:0000028;HP:0012741	Cryptorchidism; Unilateral cryptorchidism	Cryptorchidism, unilateral; Undescended testis; Cryptorchism; Undescended testes	Q5302;Q5320;Q539;Q5310;Q5300;Q5312;Q5322;Q5301	Q532;Q531;Q530;Q539
HPO_ICD:12	HP:0000029	Testicular atrophy	Testicular degeneration	N500	N500
HPO_ICD:13	HP:0000031	Epididymitis		N451	
HPO_ICD:14	HP:0000034;HP:0100673	Vaginal hydrocele; Hydrocele testis	Hydrocele; Testicular hydrocele	N433	N433
HPO_ICD:15	HP:0000035	Abnormal testis morphology	Abnormality of the testis; Anomaly of the testes	Q5520	Q552
HPO_ICD:16	HP:0000037;HP:0008656	Male pseudohermaphroditism; Incomplete male pseudohermaphroditism		Q561	Q561
HPO_ICD:17	HP:0000039	Epispadias		Q640	Q640
HPO_ICD:18	HP:0000040	Long penis	Enlarged penis; Long penis	N4889	N488
