Index	Index	ICD10	Score	P-value
1631	1631	I10	2289929.079066626	0.0
1088	1088	E785	266019.2727853442	0.0
3287	3287	N189	213964.92849707644	0.0
3946	3946	R798	181702.7385318315	0.0
975	975	E119	181575.41586634752	0.0
3309	3309	N289	180925.5526941747	0.0
3281	3281	N179	153478.68046530345	0.0
1635	1635	I129	142537.91296822694	0.0
3982	3982	R91	128018.42942501002	0.0
1634	1634	I120	117638.62220833174	0.0
3995	3995	R943	113355.56800730915	0.0
890	890	D631	108626.52531881683	0.0
1663	1663	I251	106122.82632568294	0.0
899	899	D696	103260.45842724846	0.0
3286	3286	N185	98294.20038579739	0.0
2044	2044	J90	85243.11095185885	0.0
1098	1098	E86	84524.58767498631	0.0
1106	1106	E877	83900.75599571437	0.0
2070	2070	J981	83289.76795703484	0.0
2335	2335	K768	81771.4706200349	0.0
969	969	E112	79008.93847938681	0.0
3761	3761	R060	78875.98738369836	0.0
3284	3284	N183	78108.10909264597	0.0
2128	2128	K219	76898.57130157654	0.0
1101	1101	E872	76374.02512558557	0.0
1104	1104	E875	76048.81406671573	0.0
1100	1100	E871	74466.25779805295	0.0
1764	1764	I509	69808.18062343613	0.0
1754	1754	I489	66660.35967493884	0.0
3903	3903	R609	65983.19798167974	0.0
1903	1903	I959	65167.50854776106	0.0
1105	1105	E876	63601.203338887695	0.0
3285	3285	N184	63074.647876668845	0.0
3753	3753	R030	61930.745413344644	0.0
63	63	A419	61730.65890531033	0.0
3927	3927	R748	60365.34432345586	0.0
3773	3773	R090	59689.58430386235	0.0
3924	3924	R730	59110.56928336075	0.0
3791	3791	R18	59029.140072158385	0.0
3300	3300	N258	57821.16519024238	0.0
1077	1077	E669	54719.22155470061	0.0
3997	3997	R945	54620.52938344476	0.0
2693	2693	M1990	53778.47484633627	0.0
3901	3901	R600	51665.027929425945	0.0
1055	1055	E559	51463.43789563425	0.0
2321	2321	K746	51221.98493068008	0.0
3854	3854	R418	50337.58888812883	0.0
973	973	E116	49388.52925997248	0.0
3277	3277	N170	48451.262498892334	0.0
1414	1414	G934	48136.69142408033	0.0
2336	2336	K769	47846.760434127755	0.0
1951	1951	J189	47075.049822383175	0.0
3288	3288	N19	46954.6104576864	0.0
2333	2333	K766	46632.62774663959	0.0
3307	3307	N281	46349.95489463391	0.0
3782	3782	R11	46065.59566937213	0.0
3777	3777	R098	45235.55707294776	0.0
3948	3948	R80	44763.345756142575	0.0
2032	2032	J81	44358.524079452116	0.0
3343	3343	N40	43096.01237895046	0.0
1187	1187	F329	43019.41217200304	0.0
930	930	D899	40512.28312282784	0.0
3926	3926	R740	40190.17700292478	0.0
1094	1094	E834	40133.13438856464	0.0
888	888	D62	40042.17956777704	0.0
3338	3338	N390	39693.7434979543	0.0
3760	3760	R05	39474.15000193187	0.0
3746	3746	R000	39358.41301902664	0.0
3283	3283	N182	38385.59368281072	0.0
1802	1802	I639	38247.794468321044	0.0
891	891	D638	37983.09945945008	0.0
939	939	E039	37784.93489524807	0.0
1385	1385	G629	37596.66963478345	0.0
1772	1772	I519	35771.00614703934	0.0
3748	3748	R002	35764.50844576774	0.0
1338	1338	G473	34272.91294038132	0.0
3308	3308	N288	33614.13077253677	0.0
2312	2312	K729	33267.22335398861	0.0
2012	2012	J449	33204.56638913743	0.0
2250	2250	K590	32779.07570688694	0.0
1095	1095	E835	32714.42235582095	0.0
1335	1335	G470	32306.141879076695	0.0
3887	3887	R509	32021.48618886339	0.0
2387	2387	K922	31993.513497010324	0.0
3123	3123	M7989	31786.414813806172	0.0
1761	1761	I498	30574.14384837905	0.0
2072	2072	J984	30542.19205320722	0.0
3943	3943	R788	30381.431986057964	0.0
3779	3779	R101	30097.548698972638	0.0
1852	1852	I739	29956.666939511157	0.0
1770	1770	I517	29841.513037191136	0.0
1664	1664	I252	29601.132746410374	0.0
3947	3947	R799	29363.163830545323	0.0
1749	1749	I480	29202.516636727683	0.0
3925	3925	R739	29035.33636336095	0.0
858	858	D509	28831.655807662013	0.0
1484	1484	H269	28636.607125598504	0.0
3115	3115	M7960	28620.040459729615	0.0
3855	3855	R42	28222.760122189782	0.0
2339	2339	K802	28158.417603391994	0.0
3837	3837	R31	27363.416303325088	0.0
3996	3996	R944	27272.837193778796	0.0
2063	2063	J9600	26985.72293716215	0.0
3889	3889	R53	26912.491230306863	0.0
2243	2243	K573	26857.10578850967	0.0
3914	3914	R652	26720.522306483435	0.0
3839	3839	R33	25957.5058419307	0.0
2328	2328	K760	25915.689254710287	0.0
1882	1882	I850	25604.77579339116	0.0
1205	1205	F419	25318.08787768159	0.0
971	971	E114	25218.50926591229	0.0
161	161	B182	24923.96245846472	0.0
2180	2180	K318	24844.520476009024	0.0
1805	1805	I652	24719.475693018732	0.0
3788	3788	R161	24496.00672050974	0.0
1043	1043	E46	24074.549059424717	0.0
1661	1661	I248	23997.835581122512	0.0
3850	3850	R410	23870.504410724683	0.0
1762	1762	I499	23686.911178586037	0.0
1478	1478	H251	22986.905162760977	0.0
974	974	E118	22331.020027141472	0.0
1537	1537	H524	22278.904665002756	0.0
3787	3787	R160	22260.957591222956	0.0
1073	1073	E660	21909.412359359703	0.0
3289	3289	N200	21859.52844075715	0.0
3785	3785	R14	21691.386622192018	0.0
2064	2064	J9601	21662.306232847284	0.0
1632	1632	I110	21155.00330122867	0.0
3302	3302	N26	20588.54889553646	0.0
3841	3841	R35	20416.5753545703	0.0
2359	2359	K838	20173.502548969427	0.0
1496	1496	H350	19919.831670411124	0.0
2288	2288	K648	19851.911192210933	0.0
898	898	D695	19735.674976243477	0.0
1746	1746	I471	19508.126501395975	0.0
1652	1652	I214	19232.138693309964	0.0
3989	3989	R935	18762.382963182572	0.0
2181	2181	K319	18592.2551783763	0.0
3805	3805	R21	18474.97462825618	0.0
3137	3137	M8580	18466.047923617432	0.0
1747	1747	I472	18464.423613698615	0.0
2310	2310	K720	18457.053294025445	0.0
3908	3908	R634	18098.423647914944	0.0
1636	1636	I130	17911.80476899042	0.0
1085	1085	E782	17902.40162380082	0.0
3886	3886	R508	17896.286097284185	0.0
2574	2574	L989	17428.495032727944	0.0
3249	3249	N059	17341.183015762297	0.0
3248	3248	N058	17305.84118909958	0.0
3987	3987	R933	17225.256811652813	0.0
2668	2668	M171	17128.404134119326	0.0
3840	3840	R34	17012.180558571235	0.0
3913	3913	R651	16989.914287446	0.0
1506	1506	H409	16945.801190973736	0.0
2208	2208	K449	16869.59458454328	0.0
2068	2068	J9691	16671.67394082652	0.0
2386	2386	K921	16667.60014864457	0.0
2279	2279	K635	16598.860796317167	0.0
3282	3282	N181	16570.78252857919	0.0
2022	2022	J690	16527.956828042483	0.0
2934	2934	M4781	16383.138456981034	0.0
699	699	D126	16324.563828753437	0.0
2772	2772	M2555	16176.609764564902	0.0
281	281	B968	16153.966912593276	0.0
2299	2299	K703	16004.54973825787	0.0
1675	1675	I272	15879.052950396814	0.0
1331	1331	G459	15756.18843927593	0.0
1599	1599	H919	15690.144233278417	0.0
3904	3904	R630	15639.830100896848	0.0
1107	1107	E878	15463.3614363356	0.0
2768	2768	M2551	15371.414890449165	0.0
3799	3799	R198	15355.400651497568	0.0
3747	3747	R001	15337.805338758337	0.0
1672	1672	I269	15229.654165324839	0.0
1099	1099	E870	15161.006304600973	0.0
374	374	C220	15024.131522839465	0.0
2169	2169	K297	14929.733539481194	0.0
3919	3919	R688	14783.199996036103	0.0
1902	1902	I958	14638.559373298289	0.0
1751	1751	I482	14503.838483280708	0.0
169	169	B259	14231.062459062457	0.0
2369	2369	K862	14204.71677146963	0.0
2773	2773	M2556	13892.839313470718	0.0
2062	2062	J958	13876.465786248358	0.0
61	61	A415	13816.125393223365	0.0
1653	1653	I219	13728.876392624194	0.0
498	498	C64	13723.915166750814	0.0
2354	2354	K831	13696.229824343733	0.0
1040	1040	E43	13673.683944958366	0.0
10	10	A047	13664.416016871126	0.0
1640	1640	I151	13509.630388640453	0.0
3896	3896	R579	13406.171581433262	0.0
855	855	D500	13389.691947614558	0.0
2326	2326	K758	13275.35241234874	0.0
3888	3888	R51	13258.479612092679	0.0
1202	1202	F411	13197.869296802446	0.0
3263	3263	N133	13110.253572561522	0.0
1103	1103	E874	12989.830589324165	0.0
1676	1676	I278	12921.152603834731	0.0
1673	1673	I270	12907.400069567591	0.0
3891	3891	R55	12871.715493715488	0.0
3834	3834	R300	12783.899210523512	0.0
1815	1815	I671	12635.480155394727	0.0
1409	1409	G92	12631.993213397287	0.0
1799	1799	I635	12492.211294287677	0.0
2351	2351	K828	12409.568077877268	0.0
3325	3325	N328	12385.703809042441	0.0
3838	3838	R32	12368.658556047763	0.0
1907	1907	I99	12330.48356716853	0.0
2395	2395	L039	12299.323581228147	0.0
3825	3825	R268	12283.128265837822	0.0
266	266	B952	12262.547758045772	0.0
1726	1726	I429	12111.755234319353	0.0
984	984	E139	12025.982661326185	0.0
2247	2247	K579	12006.247409328702	0.0
3853	3853	R413	11970.957107556284	0.0
1692	1692	I330	11891.114718846266	0.0
2533	2533	L82	11852.007083420442	0.0
1829	1829	I7021	11833.383183783011	0.0
2067	2067	J9690	11801.755466059469	0.0
2941	2941	M4806	11678.262986272568	0.0
3986	3986	R932	11524.76713514847	0.0
80	80	A498	11483.538542859298	0.0
1828	1828	I7020	11361.675958208256	0.0
1699	1699	I350	11324.206202445019	0.0
3920	3920	R69	11312.086746291043	0.0
1725	1725	I428	11201.918322648666	0.0
1102	1102	E873	11200.991314814344	0.0
970	970	E113	11192.354614492073	0.0
1638	1638	I132	11033.425300095918	0.0
275	275	B962	10972.169821403233	0.0
571	571	C787	10917.372759249358	0.0
1876	1876	I81	10873.216476244936	0.0
1900	1900	I951	10843.45841582825	0.0
1669	1669	I258	10799.164536745478	0.0
1133	1133	F101	10753.138248932632	0.0
3984	3984	R930	10727.769468917515	0.0
3893	3893	R570	10725.008113492479	0.0
3017	3017	M6281	10690.036240865084	0.0
2366	2366	K859	10670.839248088338	0.0
3769	3769	R068	10617.555384930794	0.0
2371	2371	K868	10547.622233654121	0.0
1643	1643	I159	10496.514209618183	0.0
1647	1647	I209	10483.257410130664	0.0
3797	3797	R195	10448.679442419132	0.0
3902	3902	R601	10412.733358339654	0.0
2280	2280	K638	10352.214749370441	0.0
870	870	D539	10206.017004063473	0.0
1742	1742	I458	10198.794530011604	0.0
3121	3121	M7967	10182.217992664318	0.0
3900	3900	R599	10177.322553861493	0.0
578	578	C795	10164.947837227286	0.0
1639	1639	I150	10121.663864657212	0.0
2372	2372	K869	10113.132447543925	0.0
3932	3932	R768	10023.01577497298	0.0
564	564	C780	10017.969233034404	0.0
1703	1703	I359	10015.207657423145	0.0
2239	2239	K567	9944.771277385704	0.0
1544	1544	H538	9913.945462661779	0.0
1084	1084	E781	9839.221463120914	0.0
3912	3912	R64	9787.939133005284	0.0
1750	1750	I481	9669.864746364547	0.0
1097	1097	E839	9640.43501294994	0.0
958	958	E079	9637.976373734567	0.0
2958	2958	M503	9570.972696973375	0.0
1888	1888	I872	9551.902787630082	0.0
160	160	B181	9551.630498217592	0.0
274	274	B961	9447.886215161696	0.0
288	288	B99	9368.543172648495	0.0
3781	3781	R103	9329.81201693471	0.0
491	491	C61	9266.718355703379	0.0
1418	1418	G938	9256.30983340667	0.0
2446	2446	L299	9201.687427688219	0.0
1691	1691	I319	9197.753756030483	0.0
2964	2964	M5137	9182.34873810457	0.0
3819	3819	R252	9156.576488583492	0.0
1377	1377	G589	9109.131101854558	0.0
2228	2228	K529	9058.10162131154	0.0
1134	1134	F102	8975.011777167812	0.0
2327	2327	K759	8943.874454324938	0.0
2146	2146	K259	8937.969050697593	0.0
3998	3998	R946	8926.042769452082	0.0
2113	2113	K123	8881.028545294876	0.0
2011	2011	J441	8811.17949159965	0.0
1744	1744	I469	8776.622737989434	0.0
2480	2480	L570	8775.136251686346	0.0
3259	3259	N12	8733.215914489094	0.0
1111	1111	E888	8592.532361373425	0.0
2289	2289	K649	8530.919559878505	0.0
581	581	C798	8479.509889324172	0.0
972	972	E115	8471.977436631447	0.0
3749	3749	R008	8433.345028750335	0.0
3792	3792	R190	8420.33305178303	0.0
2334	2334	K767	8349.584234697075	0.0
1209	1209	F432	8348.313892123864	0.0
3844	3844	R391	8300.668220782853	0.0
2385	2385	K920	8288.798463683277	0.0
1667	1667	I255	8275.55343899891	0.0
1821	1821	I678	8239.329758489475	0.0
892	892	D65	8213.360854834571	0.0
1836	1836	I714	8131.199142917009	0.0
3846	3846	R398	8130.9998063501425	0.0
2937	2937	M4802	8081.812373865805	0.0
271	271	B957	8053.556191824985	0.0
1790	1790	I619	8018.909372691937	0.0
3833	3833	R296	8013.531493803974	0.0
996	996	E213	8010.344147453586	0.0
1670	1670	I259	8005.652578929895	0.0
2293	2293	K660	8003.407518570027	0.0
2206	2206	K439	7993.482728598328	0.0
889	889	D630	7966.797921062003	0.0
