Index	Index	ICD10	Score	P-value
937	937	I340	744933.4143828576	0.0
938	938	I341	308672.46376470046	0.0
943	943	I351	275041.25078809855	0.0
1245	1245	J939	142462.43269190824	0.0
859	859	I059	114686.69261250905	0.0
940	940	I348	70587.35704550371	0.0
946	946	I359	42607.17953661356	0.0
2311	2311	Q676	36592.532870213385	0.0
2216	2216	Q231	31893.7031929761	0.0
1239	1239	J90	31264.6202300067	0.0
1257	1257	J958	30935.40371033817	0.0
945	945	I358	29963.717578327633	0.0
1265	1265	J981	28637.501450503954	0.0
1015	1015	I517	28021.74541722309	0.0
2218	2218	Q233	26592.718545966403	0.0
1062	1062	I710	24819.96693676379	0.0
1009	1009	I509	24238.232060541643	0.0
2544	2544	R943	23810.589210803715	0.0
942	942	I350	23174.56678481718	0.0
1227	1227	J81	22890.355705388156	0.0
2531	2531	R91	22021.46463655747	0.0
999	999	I489	21926.669318212986	0.0
1064	1064	I712	21174.161137577103	0.0
948	948	I361	20768.514399990407	0.0
869	869	I080	19623.905647018284	0.0
1244	1244	J938	19476.402960162766	0.0
865	865	I071	18802.41755735256	0.0
994	994	I480	18064.230565883914	0.0
957	957	I38	17674.890606237852	0.0
906	906	I251	16001.745941985317	0.0
2359	2359	R060	15626.121189133739	0.0
2215	2215	Q230	15539.061630224307	0.0
2312	2312	Q677	15328.962199851827	0.0
1017	1017	I519	14797.651635375703	0.0
878	878	I110	14616.252338058637	0.0
1007	1007	I499	13852.493877181658	0.0
856	856	I051	12274.537299318605	0.0
568	568	E877	11884.257279874375	0.0
918	918	I272	11757.178585994776	0.0
950	950	I368	11556.652177231741	0.0
1987	1987	N179	11529.59596884262	0.0
991	991	I471	11335.37339803797	0.0
939	939	I342	11140.017391573783	0.0
996	996	I482	10826.331467183023	0.0
995	995	I481	10821.179455708427	0.0
2370	2370	R090	10685.891332631603	0.0
1123	1123	I959	10563.720060057336	0.0
971	971	I429	10451.883587147307	0.0
855	855	I050	10354.09049847764	0.0
1070	1070	I719	10100.501248152548	0.0
