Index	Index	ICD10	Score	P-value
391	391	L813	1565888.908398037	0.0
390	390	L812	595945.651192422	0.0
108	108	D361	107192.20263134287	0.0
395	395	L819	24002.561658995874	0.0
86	86	D229	6622.477059741072	0.0
104	104	D333	5107.341905409746	0.0
71	71	D210	4445.4989934334935	0.0
78	78	D219	3927.92797050265	0.0
105	105	D334	3634.7176406019403	0.0
95	95	D239	3203.4624072005627	0.0
204	204	H218	2845.946523083549	0.0
77	77	D216	2772.6681316350137	0.0
98	98	D319	2675.558599592177	0.0
40	40	C723	2674.0255408414055	0.0
83	83	D225	2563.453411574988	0.0
392	392	L814	1658.8993002683155	0.0
399	399	L853	1575.4987908721587	0.0
249	249	H919	1518.9861615093776	0.0
400	400	L858	1451.5249037169217	2.3958755e-317
85	85	D227	1440.4295109853347	6.117982467e-315
41	41	C725	1391.1271453456322	3.0427401067730106e-304
132	132	D763	1375.7918696623167	6.465236656268094e-301
5	5	B081	1366.3447073075822	7.250900323957734e-299
68	68	D180	1330.4668067436041	4.41901796368568e-291
73	73	D212	1282.9718631673647	8.947289687863667e-281
72	72	D211	1212.269624751902	1.975061890917019e-265
124	124	D485	1201.67503246612	3.935475469556859e-263
84	84	D226	1129.853344028526	1.5279753907855914e-247
123	123	D482	1097.1115212611007	1.9567010458840248e-240
4	4	B07	930.6724863263464	2.6815797048722063e-204
81	81	D223	908.7100722147482	1.5768346768297428e-199
252	252	H931	873.3674589685083	7.470668081610244e-192
74	74	D213	853.5410585082465	1.511699900727811e-187
321	321	L209	845.3100920457305	9.272889845089734e-186
374	374	L700	824.0553055347813	3.8360420416417196e-181
92	92	D235	802.6131579146306	1.743826150022196e-176
342	342	L305	779.3741163572727	1.9486764872977583e-171
63	63	D166	777.4905017946484	4.999572451241224e-171
243	243	H905	740.2402296016973	6.188141394756515e-163
90	90	D233	705.3594707719307	2.3453507505478993e-155
344	344	L309	658.308481967968	3.930323364373548e-145
82	82	D224	612.6741910358537	3.2535778744187637e-135
93	93	D236	612.3705172349177	3.787613685837997e-135
163	163	F819	608.1567002455344	3.120757698617682e-134
384	384	L738	562.4028544211292	2.7546252690753405e-124
325	325	L219	554.0967870563197	1.7611869243222558e-122
485	485	Q279	545.9924250386357	1.0180291186913081e-120
394	394	L818	513.5972767401804	1.1255834084398744e-113
334	334	L259	477.1921971039998	9.293912464218916e-106
241	241	H903	458.0438293222296	1.3580412815844386e-101
