Index	Index	ICD10	Score	P-value
900	900	Q210	1113707.6943812931	0.0
903	903	Q213	344564.4963722144	0.0
937	937	Q255	338271.83978741895	0.0
908	908	Q221	246831.19421235155	0.0
939	939	Q257	178413.88399759345	0.0
907	907	Q220	163828.44502840485	0.0
317	317	I370	119771.48225000288	0.0
938	938	Q256	114619.1788429674	0.0
931	931	Q249	112939.01640307714	0.0
901	901	Q211	103143.59582429915	0.0
321	321	I379	90646.17239242335	0.0
892	892	Q201	90470.49170010487	0.0
930	930	Q248	71237.91060974475	0.0
936	936	Q254	70538.77795015853	0.0
894	894	Q203	66882.35424605549	0.0
932	932	Q250	59967.334942902206	0.0
318	318	I371	56508.96860626761	0.0
909	909	Q222	55377.91248438458	0.0
895	895	Q204	54356.739861107955	0.0
914	914	Q228	50900.36070380079	0.0
910	910	Q223	49058.216435789065	0.0
926	926	Q243	45765.28482792183	0.0
933	933	Q251	34384.704294598174	0.0
934	934	Q252	32586.927299582603	0.0
902	902	Q212	32444.94023076644	0.0
920	920	Q234	25739.644391138587	0.0
917	917	Q231	24594.949161371682	0.0
725	725	P281	24513.180178237948	0.0
369	369	I517	23193.534655840336	0.0
896	896	Q205	22131.569805974315	0.0
911	911	Q224	21704.77833473553	0.0
1226	1226	R633	19273.60410906016	0.0
947	947	Q268	18929.484260447516	0.0
981	981	Q359	17067.93611401058	0.0
457	457	J81	16454.04120042115	0.0
913	913	Q226	14585.052578912886	0.0
927	927	Q244	14402.105961193103	0.0
319	319	I372	12564.562621560071	0.0
918	918	Q232	12315.606005508085	0.0
919	919	Q233	11433.893932663868	0.0
473	473	J958	11316.085157104442	0.0
1139	1139	Q909	10724.843081456456	0.0
826	826	P929	10443.517747135173	0.0
153	153	F809	10434.759939341151	0.0
891	891	Q200	10300.257076757798	0.0
928	928	Q245	10244.086489100298	0.0
730	730	P288	10100.793510358113	0.0
1157	1157	R011	9906.145607140146	0.0
905	905	Q218	9831.892870659416	0.0
1188	1188	R230	9640.310496815822	0.0
916	916	Q230	9633.496227451695	0.0
915	915	Q229	9353.428504676018	0.0
1132	1132	Q893	9307.995822929222	0.0
1134	1134	Q898	9060.7079669326	0.0
1125	1125	Q870	8794.39345719354	0.0
825	825	P928	8430.032854946741	0.0
1133	1133	Q897	8097.620807589824	0.0
996	996	Q388	7856.777434227814	0.0
837	837	Q02	7570.976528895946	0.0
898	898	Q208	7551.480881234906	0.0
710	710	P229	7300.420001051746	0.0
337	337	I451	7258.9736026257915	0.0
723	723	P279	7215.002682750384	0.0
483	483	J984	7045.108503970854	0.0
833	833	P968	6932.125444231776	0.0
972	972	Q336	6864.145645091251	0.0
729	729	P285	6708.043487035814	0.0
481	481	J981	6667.720981344167	0.0
923	923	Q240	6572.096016453259	0.0
465	465	J940	6308.19677734312	0.0
943	943	Q261	5889.777264592213	0.0
728	728	P284	5782.708942839668	0.0
733	733	P291	5733.0433473780995	0.0
708	708	P221	5707.495308852875	0.0
696	696	P073	5654.115391826583	0.0
897	897	Q206	5456.611502045462	0.0
263	263	I079	5384.053986166896	0.0
921	921	Q238	5358.274171495543	0.0
731	731	P289	5252.618992843486	0.0
948	948	Q269	5238.475157573364	0.0
460	460	J90	5164.799018060575	0.0
1048	1048	Q600	5106.868191925212	0.0
260	260	I071	4972.852592618275	0.0
308	308	I351	4925.77880509094	0.0
882	882	Q179	4865.451050910875	0.0
944	944	Q262	4777.027775119973	0.0
809	809	P833	4748.192790486342	0.0
802	802	P788	4725.715771713893	0.0
486	486	J988	4669.660248831453	0.0
290	290	I288	4581.993376024205	0.0
405	405	J041	4552.497800343448	0.0
980	980	Q357	4484.502459118685	0.0
313	313	I361	4465.696766112482	0.0
945	945	Q263	4250.3952907937355	0.0
333	333	I442	4154.343637194405	0.0
320	320	I378	4088.0065501311046	0.0
978	978	Q353	4027.1342128005513	0.0
707	707	P220	4003.561201924112	0.0
403	403	I978	3861.7696463271413	0.0
735	735	P293	3809.533579986461	0.0
799	799	P77	3774.0269092246645	0.0
343	343	I459	3764.2753179154815	0.0
371	371	I519	3740.532335117777	0.0
935	935	Q253	3627.692738341974	0.0
786	786	P711	3586.7159031358383	0.0
1170	1170	R068	3577.919824028483	0.0
940	940	Q258	3576.8210997273973	0.0
989	989	Q379	3553.8745524738956	0.0
893	893	Q202	3537.058692506791	0.0
285	285	I272	3474.3659399213393	0.0
879	879	Q174	3418.4548405301593	0.0
1129	1129	Q890	3394.6000692992316	0.0
694	694	P071	3375.842121676688	0.0
773	773	P610	3366.4988937582907	0.0
808	808	P832	3268.2398333098963	0.0
775	775	P612	3259.8862962865765	0.0
243	243	H900	3223.531678947718	0.0
970	970	Q333	3123.6169622124758	0.0
721	721	P271	2999.4373129267274	0.0
752	752	P520	2969.645197782354	0.0
964	964	Q320	2957.8306653936916	0.0
311	311	I359	2932.0878166157772	0.0
946	946	Q264	2924.3540537900103	0.0
1257	1257	R91	2834.703024004947	0.0
152	152	F808	2738.3460837174885	0.0
1173	1173	R090	2725.589892080634	0.0
286	286	I278	2688.2669703447955	0.0
316	316	I369	2677.4913956742557	0.0
1135	1135	Q899	2660.1113588786143	0.0
732	732	P290	2658.815070006234	0.0
717	717	P251	2613.7428579080606	0.0
450	450	J398	2580.887035513056	0.0
820	820	P920	2562.3070930404174	0.0
370	370	I518	2556.006199405022	0.0
727	727	P283	2530.7744390898392	0.0
793	793	P743	2523.7502964048113	0.0
1166	1166	R061	2501.933160493947	0.0
156	156	F82	2489.437960376574	0.0
149	149	F800	2472.4259580891076	0.0
966	966	Q322	2445.863748677506	0.0
904	904	Q214	2419.621111422287	0.0
906	906	Q219	2397.9192681631084	0.0
749	749	P393	2384.3237121119973	0.0
361	361	I498	2368.3404863144956	0.0
238	238	H698	2264.192256635026	0.0
951	951	Q278	2264.168723617592	0.0
999	999	Q392	2243.4790630076745	0.0
790	790	P740	2226.7809498764373	0.0
994	994	Q385	2186.550370879366	0.0
1138	1138	Q902	2180.603193903689	0.0
157	157	F88	2173.6539131441173	0.0
722	722	P278	2127.487722712923	0.0
792	792	P742	2119.53632389012	0.0
470	470	J953	2110.606550164563	0.0
464	464	J939	2108.6970160646724	0.0
976	976	Q349	2094.732267851066	0.0
1165	1165	R060	2075.419227048424	0.0
785	785	P704	2040.144779968709	0.0
1211	1211	R492	2027.7194058719224	0.0
245	245	H902	2027.6849065859121	0.0
1009	1009	Q410	2026.8125298585055	0.0
998	998	Q391	2022.3094134037244	0.0
346	346	I471	2020.9483900323296	0.0
787	787	P712	2014.9839232477798	0.0
150	150	F801	1986.3375304778704	0.0
347	347	I472	1945.5031035175887	0.0
922	922	Q239	1870.1427197345092	0.0
1126	1126	Q871	1822.5768592373092	0.0
399	399	I898	1797.295841670196	0.0
289	289	I281	1776.3972410427255	0.0
777	777	P614	1770.9837279372723	0.0
983	983	Q369	1763.3326611099312	0.0
692	692	P059	1763.089351572456	0.0
1225	1225	R620	1755.5828620520742	0.0
1176	1176	R098	1741.7347465949886	0.0
496	496	K029	1727.056770541257	0.0
279	279	I253	1700.0433783019691	0.0
912	912	Q225	1688.2926294602553	0.0
877	877	Q172	1668.6448229519806	0.0
397	397	I871	1667.831434905976	0.0
362	362	I499	1659.2725286049745	0.0
890	890	Q189	1620.9753552429402	0.0
997	997	Q390	1618.0134224606445	0.0
965	965	Q321	1611.311913813177	0.0
693	693	P070	1608.8009673230692	0.0
724	724	P280	1608.5191890237973	0.0
768	768	P590	1594.8352855317755	0.0
478	478	J9690	1577.329378474604	0.0
961	961	Q311	1576.3083408050386	0.0
322	322	I38	1563.8542243165875	0.0
1115	1115	Q791	1563.1491690843968	0.0
715	715	P249	1549.06137352599	0.0
828	828	P942	1532.4645732026822	0.0
28	28	B348	1513.723163015864	0.0
929	929	Q246	1468.5987401789523	4.74e-321
235	235	H659	1460.2694548672366	3.03643e-319
743	743	P369	1453.5321262882096	8.790263e-318
334	334	I443	1446.32897382923	3.2115525e-316
962	962	Q315	1418.5248606044245	3.4589432885432e-310
1015	1015	Q423	1410.039655526752	2.3982832459644023e-308
1000	1000	Q393	1409.2760475718246	3.512163372325631e-308
807	807	P819	1395.0552252625441	4.275590193813525e-305
803	803	P789	1382.678448493843	2.0719618732698399e-302
1114	1114	Q790	1378.2354693892103	1.9071586715863423e-301
