HPO_ICD10_ID	HPO_IDs	HPO_Strings	HPO_Syns	ICD10
HPO_ICD:0	HP:0000011	Neurogenic bladder	Lack of bladder control due to nervous system injury	N319;N310;N311
HPO_ICD:1	HP:0000012	Urinary urgency	Overactive bladder syndrome; Urgency frequency syndrome; Urinary urgency; Overactive bladder	R3915
HPO_ICD:2	HP:0000013	Hypoplasia of the uterus	Hypoplastic uterus; Underdeveloped uterus; Rudimentary uterus; Small uterus	Q51811
HPO_ICD:3	HP:0000015	Bladder diverticulum	Bladder diverticula	N323
HPO_ICD:4	HP:0000016	Urinary retention	Increased post-void residual urine volume	R339;R39198
HPO_ICD:5	HP:0000017	Nocturia	Nycturia	R351
HPO_ICD:6	HP:0000019	Urinary hesitancy	Difficulty with flow	R3911
HPO_ICD:7	HP:0000023	Inguinal hernia		K4090
HPO_ICD:8	HP:0000024	Prostatitis	Inflammation of the prostate	N419
HPO_ICD:9	HP:0000026;HP:0008720;HP:0008226	Androgen insufficiency; Primary testicular failure; Male hypogonadism	Hypoandrogenism; Decreased function of male gonad	E291
HPO_ICD:10	HP:0000027	Azoospermia	Absent sperm in semen	N46022;N46021;N4601;N46025;N46023;N46024
HPO_ICD:11	HP:0012741;HP:0000028	Unilateral cryptorchidism; Cryptorchidism	Undescended testes; Cryptorchism; Cryptorchidism, unilateral; Undescended testis	Q5300;Q539;Q5301;Q5310;Q5312;Q5320;Q5302;Q5322
HPO_ICD:12	HP:0000029	Testicular atrophy	Testicular degeneration	N500
HPO_ICD:13	HP:0000031	Epididymitis		N451
HPO_ICD:14	HP:0000034;HP:0100673	Hydrocele testis; Vaginal hydrocele	Testicular hydrocele; Hydrocele	N433
HPO_ICD:15	HP:0000035	Abnormal testis morphology	Anomaly of the testes; Abnormality of the testis	Q5520
HPO_ICD:16	HP:0008656;HP:0000037	Incomplete male pseudohermaphroditism; Male pseudohermaphroditism		Q561
HPO_ICD:17	HP:0000039	Epispadias		Q640
HPO_ICD:18	HP:0000040	Long penis	Long penis; Enlarged penis	N4889
HPO_ICD:19	HP:0000830;HP:0000871;HP:0008213;HP:0000839;HP:0000044;HP:0008202;HP:0040075;HP:0000824	Hypopituitarism; Prolactin deficiency; Gonadotropin deficiency; Anterior hypopituitarism; Growth hormone deficiency; Hypogonadotrophic hypogonadism; Panhypopituitarism; Pituitary dwarfism	Isolated hypogonadotropic hypogonadism; Low gonadotropins (secondary hypogonadism); Hypogonadism, hypogonadotropic; Growth hormone deficiency; Somatotropin deficiency; Pituitary gonadotropin deficiency	E230
HPO_ICD:20	HP:0000046;HP:0012870;HP:0030276	Scrotal hypoplasia; Vanishing testis; Small scrotum	Smaller than typical growth of scrotum; Hypoplastic scrotum; Small scrotum; Testicular regression syndrome; Underdeveloped scrotum; Vanishing testis	Q551
HPO_ICD:21	HP:0008743;HP:0012853;HP:0000807;HP:0000047;HP:0000051;HP:0000808;HP:0003244	Coronal hypospadias; Scrotal hypospadias; Penoscrotal hypospadias; Penile hypospadias; Hypospadias; Glandular hypospadias; Perineal hypospadias	Subcoronal hypospadias; Hypospadia	Q542;Q543;Q541;Q540;Q549;Q548
HPO_ICD:22	HP:0008707;HP:0000048;HP:0008715	Bifid scrotum; Absent scrotum; Testicular dysgenesis	Cleft of scrotum; Scrotal cleft; Absent scrotum	Q5529
HPO_ICD:23	HP:0030260;HP:0000054;HP:0008736	Microphallus; Micropenis; Hypoplasia of penis	Underdeveloped penis; Short penis; Small penis	Q5562
HPO_ICD:24	HP:0000062	Ambiguous genitalia	Ambiguous external genitalia; Ambiguous external genitalia at birth; Intersex genitalia	Q564
HPO_ICD:25	HP:0000072	Hydroureter	Megaureter; Swelling of ureter; Uroureter; Ureteral dilatation	N134;N2882
HPO_ICD:26	HP:0012572;HP:0000073	Ureteral duplication; Ureter duplex	Double ureter	Q625
HPO_ICD:27	HP:0005200;HP:0006000;HP:0000071;HP:0000074	Ureteral stenosis; Ureteropelvic junction obstruction; Ureteral obstruction; Retroperitoneal fibrosis	Pelviureteric junction obstruction; Narrowing of the ureter	N135;Q6239
HPO_ICD:28	HP:0000075	Renal duplication	Supernumerary kidney; Extra kidney	Q630
HPO_ICD:29	HP:0000076	Vesicoureteral reflux	Ureteric reflux; Vesicoureteric reflux; Ureteral reflux	N1370
HPO_ICD:30	HP:0000077;HP:0012210;HP:0000112	Nephropathy; Abnormal renal morphology; Abnormality of the kidney	Structural renal anomalies; Renal malformation; Abnormal kidney; Kidney disease; Renal anomalies; Renal anomaly; Structural anomalies of the renal tract; Abnormal kidney morphology; Kidney structure issue; Structural kidney abnormalities; Abnormally shaped kidney; Kidney malformation; Kidney damage; Abnormality of the kidney	Q639;N08;N289
HPO_ICD:31	HP:0000083	Renal insufficiency	Renal failure in adulthood; Renal failure	N19;N289
HPO_ICD:32	HP:0000125;HP:0004712;HP:0004717;HP:0000086	Axial malrotation of the kidney; Ectopic kidney; Renal malrotation; Pelvic kidney	Abnormal kidney location; Ectopic kidneys; Sacral kidney; Renal ectopia; Displaced kidney; Abnormal rotation of the kidneys; Malrotation of the kidney	Q632
HPO_ICD:33	HP:0008660;HP:0000089	Renotubular dysgenesis; Renal hypoplasia	Small kidneys; Hypoplastic kidney; Hypoplastic kidneys; Underdeveloped kidneys; Renal tubular dysgenesis	Q605
HPO_ICD:34	HP:0012593;HP:0000093;HP:0012594;HP:0012592;HP:0030156	Microalbuminuria; Nephrotic range proteinuria; Proteinuria; Bence Jones Proteinuria; Albuminuria	High urine albumin levels; High urine protein levels; Protein in urine	R803;R809;R808;R800;R801
HPO_ICD:35	HP:0000097	Focal segmental glomerulosclerosis	Focal and segmental glomerulosclerosis; focal glomerulosclerosis; Focal and segmental glomerular sclerosis	N051
HPO_ICD:36	HP:0000098	Tall stature	Accelerated linear growth; Increased body height; Tall stature; Increased linear growth	E344
HPO_ICD:37	HP:0100820;HP:0000099;HP:0000123	Glomerulopathy; Glomerulonephritis; Nephritis	Diseased glomeruli; Glomerular nephritis; Kidney inflammation	N08;N059
HPO_ICD:38	HP:0000100	Nephrotic syndrome	Nephrosis	N049
HPO_ICD:39	HP:0000103	Polyuria	Increased urine output	R358
HPO_ICD:40	HP:0000104	Renal agenesis	Missing kidney; Absent kidney; Renal aplasia	Q602
HPO_ICD:41	HP:0000105	Enlarged kidney	Nephromegaly; Large kidney; Large kidneys; Enlarged kidney; Renal enlargement	N2881
HPO_ICD:42	HP:0000107	Renal cyst	Kidney cyst; Cystic kidney disease; Cystic kidneys; Renal cysts	N281
HPO_ICD:43	HP:0008327;HP:0012409;HP:0000121;HP:0012408	Nephrocalcinosis; Microscopic nephrocalcinosis; Medullary nephrocalcinosis; Cortical nephrocalcinosis	Increased calcium level in kidney; Too much calcium deposited in kidneys	E8359;N29
HPO_ICD:44	HP:0000122	Unilateral renal agenesis	Missing one kidney; Unilateral kidney agenesis; Single kidney; Absent kidney on one side	Q600
HPO_ICD:45	HP:0000124	Renal tubular dysfunction	Renal tubular defect; Renal tubular disease; Abnormal function of filtrating structures in kidney	N259
HPO_ICD:46	HP:0000126	Hydronephrosis		N132;N1339;N1330;N131
HPO_ICD:47	HP:0000130	Abnormality of the uterus	Abnormality of the uterus; Uterine malformations; Uterine abnormalities	Q519
HPO_ICD:48	HP:0009730;HP:0100882;HP:0010614;HP:0009724;HP:0100804;HP:0000131	Fibrous hamartoma; Ungual fibroma; Rhabdomyoma; Fibroma; Subungual fibromas; Uterine leiomyoma	Koenen's tumor; Uterine fibroid; Koenen tumor; Subungual fibroma; Periungual fibroma; Fibrous hamartoma of infancy; Parungual fibromas; Benign uterine leiomyomas	D219;D259
HPO_ICD:49	HP:0000132;HP:0400007	Menorrhagia; Polymenorrhea	Hypermenorrhea; Abnormally heavy bleeding during menstruation	N920
HPO_ICD:50	HP:0000133	Gonadal dysgenesis	Pure gonadal dysgenesis; Mixed gonadal dysgenesis	Q961;Q960;Q962;Q969;Q964;Q963;Q968
HPO_ICD:51	HP:0000137	Abnormality of the ovary	Ovarian disease; Abnormality of the ovary; Abnormality of the ovaries	N839
HPO_ICD:52	HP:0012886;HP:0000138	Hemorrhagic ovarian cyst; Ovarian cyst	Cystic ovaries; Ovarian cyst; Ovarian cystic abnormality; Cystic abnormalities of the ovaries	N83209
HPO_ICD:53	HP:0000139	Uterine prolapse	Sagging uterus	N814
HPO_ICD:54	HP:0000143	Rectovaginal fistula	Abnormal connection between rectum and vagina	N823
